year,type,product_type,values
1996,Total Manufacturing,Other Transport Equipment,5054.5
1996,Total Manufacturing,Furniture,677
1996,Total Manufacturing,Other Manufacturing Industries,1357.2
1997,Total Manufacturing,"Food, Beverage & Tobacco",4097.2
1997,Total Manufacturing,Textiles,247.4
1997,Total Manufacturing,Wearing Apparel,865.7
1997,Total Manufacturing,"Leather, Leather Products & Footwear",158.7
1997,Total Manufacturing,Wood & Wood Products,306.7
1997,Total Manufacturing,Paper & Paper Products,1006.2
1997,Total Manufacturing,Printing & Reproduction Of Recorded Media,2886.1
1997,Total Manufacturing,Refined Petroleum Products,14888.1
1997,Total Manufacturing,Chemicals & Chemical Products,7978.8
1997,Total Manufacturing,Pharmaceutical & Biological Products,1807.3
1997,Total Manufacturing,Rubber & Plastic Products,2772.3
1997,Total Manufacturing,Non-metallic Mineral Products,2755.7
1997,Total Manufacturing,Basic Metal,673.3
1997,Total Manufacturing,Fabricated Metal Products,6751.7
1997,Total Manufacturing,"Computer, Electronic & Optical Products",65005.6
1997,Total Manufacturing,Electrical Equipment,3186.8
1997,Total Manufacturing,Machinery & Equipment,7058.3
1997,Total Manufacturing,"Motor Vehicles, Trailers & Semi-trailers",147.8
1997,Total Manufacturing,Other Transport Equipment,5355.9
1997,Total Manufacturing,Furniture,712.6
1997,Total Manufacturing,Other Manufacturing Industries,1406
1998,Total Manufacturing,"Food, Beverage & Tobacco",3798.5
1998,Total Manufacturing,Textiles,250.5
1998,Total Manufacturing,Wearing Apparel,861.9
1998,Total Manufacturing,"Leather, Leather Products & Footwear",138.5
1998,Total Manufacturing,Wood & Wood Products,318.5
1998,Total Manufacturing,Paper & Paper Products,880.3
1998,Total Manufacturing,Printing & Reproduction Of Recorded Media,2781.3
1998,Total Manufacturing,Refined Petroleum Products,13216.9
1998,Total Manufacturing,Chemicals & Chemical Products,7756.1
1998,Total Manufacturing,Pharmaceutical & Biological Products,2860.4
1998,Total Manufacturing,Rubber & Plastic Products,2541.6
1998,Total Manufacturing,Non-metallic Mineral Products,2206.7
1998,Total Manufacturing,Basic Metal,566.8
1998,Total Manufacturing,Fabricated Metal Products,6597.7
1998,Total Manufacturing,"Computer, Electronic & Optical Products",63248.4
1998,Total Manufacturing,Electrical Equipment,2578.4
1998,Total Manufacturing,Machinery & Equipment,6400.3
1998,Total Manufacturing,"Motor Vehicles, Trailers & Semi-trailers",124.1
1998,Total Manufacturing,Other Transport Equipment,5943.6
1998,Total Manufacturing,Furniture,631.6
1998,Total Manufacturing,Other Manufacturing Industries,1525
1999,Total Manufacturing,"Food, Beverage & Tobacco",3784.4
1999,Total Manufacturing,Textiles,232.8
1999,Total Manufacturing,Wearing Apparel,886.2
1999,Total Manufacturing,"Leather, Leather Products & Footwear",169.1
1999,Total Manufacturing,Wood & Wood Products,264.1
1999,Total Manufacturing,Paper & Paper Products,876.4
1999,Total Manufacturing,Printing & Reproduction Of Recorded Media,2750.7
1999,Total Manufacturing,Refined Petroleum Products,14124.5
1999,Total Manufacturing,Chemicals & Chemical Products,9521.2
1999,Total Manufacturing,Pharmaceutical & Biological Products,4960.1
1999,Total Manufacturing,Rubber & Plastic Products,2781.3
1999,Total Manufacturing,Non-metallic Mineral Products,1739.7
1999,Total Manufacturing,Basic Metal,557.5
1999,Total Manufacturing,Fabricated Metal Products,6689.3
1999,Total Manufacturing,"Computer, Electronic & Optical Products",71494.5
1999,Total Manufacturing,Electrical Equipment,2345.3
1999,Total Manufacturing,Machinery & Equipment,6167.8
1999,Total Manufacturing,"Motor Vehicles, Trailers & Semi-trailers",198.2
1999,Total Manufacturing,Other Transport Equipment,5884.2
1999,Total Manufacturing,Furniture,576.9
1999,Total Manufacturing,Other Manufacturing Industries,1538.3
2000,Total Manufacturing,"Food, Beverage & Tobacco",3750.9
2000,Total Manufacturing,Textiles,275.8
2000,Total Manufacturing,Wearing Apparel,1094.2
2000,Total Manufacturing,"Leather, Leather Products & Footwear",208.6
2000,Total Manufacturing,Wood & Wood Products,293.5
2000,Total Manufacturing,Paper & Paper Products,876.8
2000,Total Manufacturing,Printing & Reproduction Of Recorded Media,3078.3
